ENTIDAD,NOMBRE DE LA ESCUELA,TURNO,NOMBRE DEL MUNICIPIO,NOMBRE DE LA LOCALIDAD,ALUMNOS EVALUADOS - LENGUAJE Y COMUNICACIÓN,ALUMNOS EVALUADOS - MATEMÁTICAS,ALUMNOS REPRESENTATIVOS EN TOTALIDAD - LENGUAJE Y COMUNICACIÓN,ALUMNOS REPRESENTATIVOS EN TOTALIDAD - MATEMÁTICAS,NIVEL LG - PORCENTAJE ALUMNOS - I,NIVEL LG - PORCENTAJE ALUMNOS - II,NIVEL LG - PORCENTAJE ALUMNOS - III,NIVEL LG - PORCENTAJE ALUMNOS - IV,NIVEL MATE - PORCENTAJE ALUMNOS - I,NIVEL MATE - PORCENTAJE ALUMNOS -  II,NIVEL MATE - PORCENTAJE ALUMNOS - III,NIVEL MATE - PORCENTAJE ALUMNOS - IV,grupos
SAN LUIS POTOSI,E.P.C. NUM. 19 CAP. MIGUEL CALDERA,VESPERTINO,SAN LUIS POTOSI,BOCAS (ESTACION BOCAS),20,20,SI,SI,75.0,20.0,5.0,0.0,100.0,0.0,0.0,0.0,3
SAN LUIS POTOSI,"COLEGIO ALMA PATRIA DE SAN LUIS, A.C.",MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,69,70,SI,SI,34.8,37.7,20.3,7.2,91.4,8.6,0.0,0.0,3
SAN LUIS POTOSI,PROF. JESUS R ALDERETE,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,75,75,SI,SI,38.7,26.7,30.7,4.0,89.3,9.3,0.0,1.3,3
SAN LUIS POTOSI,PROF. JUAN GREGORIO SALINAS FUENTES,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,69,67,SI,SI,50.7,26.1,21.7,1.4,86.6,9.0,3.0,1.5,3
SAN LUIS POTOSI,PONCIANO ARRIAGA,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,69,66,SI,SI,52.2,29.0,14.5,4.3,84.8,13.6,0.0,1.5,3
SAN LUIS POTOSI,CARTAGO,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,70,71,SI,SI,44.3,32.9,21.4,1.4,88.7,11.3,0.0,0.0,3
SAN LUIS POTOSI,PREPARATORIA MUNICIPAL EL SAUCITO,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,70,75,SI,SI,41.4,37.1,18.6,2.9,94.7,5.3,0.0,0.0,3
SAN LUIS POTOSI,COLEGIO DE BACHILLERES NUM. 17,VESPERTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,68,66,SI,SI,41.2,30.9,19.1,8.8,74.2,19.7,3.0,3.0,3
SAN LUIS POTOSI,COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA NUM. 205 SAN LUIS POTOSI,MATUTINO,SOLEDAD DE GRACIANO SANCHEZ,SOLEDAD DE GRACIANO SANCHEZ,67,71,SI,SI,43.3,26.9,22.4,7.5,85.9,5.6,4.2,4.2,3
SAN LUIS POTOSI,CENTRO DE BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS NUM. 125,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,67,67,SI,SI,46.3,35.8,17.9,0.0,85.1,13.4,1.5,0.0,3
SAN LUIS POTOSI,PROF. J. NATIVIDAD SANCHEZ,VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,67,67,SI,SI,37.3,38.8,17.9,6.0,85.1,13.4,1.5,0.0,3
SAN LUIS POTOSI,"COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS ""UNIDAD SLP I LOMAS MEZQUITA",VESPERTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,71,73,SI,SI,47.9,35.2,11.3,5.6,83.6,13.7,2.7,0.0,3
SAN LUIS POTOSI,CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO NUM. 196,MATUTINO,SAN LUIS POTOSI,SAN LUIS POTOSI,62,52,SI,SI,45.2,35.5,17.7,1.6,76.9,11.5,9.6,1.9,3
